City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,13.45,65,100,2.17,RU,1691614608
1,port-aux-francais,-49.35,70.2167,2.65,78,92,12.29,TF,1691614781
2,mitu,1.1983,-70.1733,26.9,75,99,1.59,CO,1691614844
3,adamstown,-25.066,-130.1015,18.95,69,43,9.62,PN,1691614844
4,bilibino,68.0546,166.4372,10.98,47,99,1.54,RU,1691614601
5,thompson,55.7435,-97.8558,19.09,45,75,5.14,CA,1691614599
6,waitangi,-43.9535,-176.5597,9.34,77,78,1.79,NZ,1691614780
7,tura,25.5198,90.2201,23.52,95,100,1.27,IN,1691614845
8,vegreville,53.5001,-112.0518,20.39,72,100,5.14,CA,1691614845
9,kidal,18.4411,1.4078,35.65,32,100,4.19,ML,1691614845
10,belo sur tsiribihina,-19.7,44.55,20.07,92,6,1.64,MG,1691614845
11,college,64.8569,-147.8028,22.89,81,100,1.54,US,1691614845
12,edinburgh of the seven seas,-37.0676,-12.3116,10.83,58,59,11.01,SH,1691614846
13,puerto ayora,-0.7393,-90.3518,29.98,88,96,3.13,EC,1691614846
14,albany,42.6001,-73.9662,28.21,54,50,0.89,US,1691614841
15,klyuchi,52.2667,79.1667,19.93,47,88,2.98,RU,1691614846
16,burriana,39.889,-0.085,27.59,78,60,1.71,ES,1691614846
17,kapuskasing,49.4169,-82.4331,24.05,53,40,3.6,CA,1691614752
18,den burg,53.0542,4.7972,15.55,78,100,2.06,NL,1691614847
19,grytviken,-54.2811,-36.5092,-10.17,64,0,1.97,GS,1691614847
20,happy valley-goose bay,53.3168,-60.3315,17.17,82,100,4.12,CA,1691614847
21,hamilton,39.1834,-84.5333,27.92,79,75,4.63,US,1691614659
22,okhotsk,59.3833,143.3,15.74,59,13,1.06,RU,1691614848
23,novodvinsk,64.4165,40.8122,16.11,85,4,2.06,RU,1691614596
24,bethel,41.3712,-73.414,30.01,52,0,6.17,US,1691614549
25,cidreira,-30.1811,-50.2056,16.15,98,100,5.42,BR,1691614848
26,phan rang-thap cham,11.5667,108.9833,26.26,73,4,1.77,VN,1691614643
27,georgetown,5.4112,100.3354,26.68,93,40,4.12,MY,1691614601
28,syktyvkar,61.6764,50.8099,14.95,100,7,0.0,RU,1691614848
29,ushuaia,-54.8,-68.3,8.81,49,40,6.17,AR,1691614848
30,nemuro,43.3236,145.575,18.6,100,100,5.76,JP,1691614848
31,port jervis,41.3751,-74.6927,28.8,61,60,3.64,US,1691614849
32,tazovsky,67.4667,78.7,7.92,86,80,8.37,RU,1691614646
33,bahia blanca,-38.7196,-62.2724,17.12,35,97,2.68,AR,1691614769
34,cole harbour,44.6724,-63.4751,18.87,96,100,3.6,CA,1691614592
35,dudinka,69.4058,86.1778,13.68,72,100,9.18,RU,1691614849
36,ust-nera,64.5667,143.2,16.03,62,15,1.11,RU,1691614849
37,tan-tan,28.438,-11.1032,20.69,94,36,7.45,MA,1691614849
38,touros,-5.1989,-35.4608,25.7,81,80,10.79,BR,1691614849
39,kyzyl,51.7,94.45,17.92,74,100,2.63,RU,1691614850
40,kapa'a,22.0752,-159.319,30.18,69,75,8.75,US,1691614855
41,turpan,42.9333,89.1667,32.46,29,57,1.13,CN,1691614855
42,west island,-12.1568,96.8225,24.99,83,75,5.14,CC,1691614611
43,daru,-9.0763,143.2092,23.16,82,93,3.83,PG,1691614855
44,avarua,-21.2078,-159.775,24.03,69,75,8.23,CK,1691614855
45,chonchi,-42.6128,-73.8092,10.56,95,100,4.85,CL,1691614856
46,hadibu,12.65,54.0333,26.0,76,57,8.03,YE,1691614856
47,vilyuchinsk,52.9306,158.4028,14.15,73,100,2.05,RU,1691614856
48,polyarnyy,69.1989,33.4478,18.87,74,0,1.77,RU,1691614856
49,sao joao da barra,-21.6403,-41.0511,23.05,85,60,2.89,BR,1691614856
50,lib,8.3122,167.3766,28.12,73,30,4.43,MH,1691614856
51,gaoping,30.7758,106.1029,26.24,91,61,2.25,CN,1691614856
52,nizhniy kuranakh,58.8353,125.4869,15.35,88,95,1.72,RU,1691614791
53,sitka,57.0531,-135.33,14.94,88,100,2.57,US,1691614622
54,puerto natales,-51.7236,-72.4875,2.8,97,65,1.81,CL,1691614857
55,olonkinbyen,70.9221,-8.7187,5.88,100,100,2.23,SJ,1691614858
56,kutum,14.2,24.6667,24.01,67,88,4.0,SD,1691614858
57,ribeira grande,38.5167,-28.7,25.22,78,20,5.14,PT,1691614858
58,umm ruwaba,12.9061,31.2158,29.55,57,89,2.47,SD,1691614858
59,martapura,-3.4167,114.85,22.05,100,50,0.51,ID,1691614859
60,santa ana,33.7456,-117.8678,34.67,66,75,5.66,US,1691614372
61,vadso,70.0744,29.7487,23.49,77,9,4.12,NO,1691614787
62,bredasdorp,-34.5322,20.0403,10.69,92,0,1.59,ZA,1691614695
63,brindisi,40.5833,17.6667,24.32,55,98,2.52,IT,1691614859
64,iqaluit,63.7506,-68.5145,4.85,93,100,3.6,CA,1691614859
65,hermanus,-34.4187,19.2345,13.22,79,0,2.85,ZA,1691614859
66,kone,-21.0595,164.8658,18.3,69,54,4.26,NC,1691614612
67,cam ranh,11.9214,109.1591,28.98,70,20,1.54,VN,1691614860
68,luderitz,-26.6481,15.1594,23.46,44,78,2.33,NA,1691614665
69,atafu village,-8.5421,-172.5159,28.29,79,100,6.71,TK,1691614599
70,okahandja,-21.9833,16.9167,19.6,29,74,4.72,NA,1691614860
71,laguna,38.421,-121.4238,33.51,40,0,2.68,US,1691614860
72,haiku-pauwela,20.9219,-156.3051,27.92,63,100,6.26,US,1691614861
73,francistown,-21.17,27.5079,13.48,49,0,7.66,BW,1691614861
74,kalamata,37.0389,22.1142,21.87,73,20,0.0,GR,1691614861
75,saldanha,-33.0117,17.9442,13.03,81,0,4.06,ZA,1691614862
76,hithadhoo,-0.6,73.0833,27.06,76,63,1.79,MV,1691614862
77,blackmans bay,-43.0167,147.3167,12.63,69,100,3.05,AU,1691614781
78,san-pedro,4.7485,-6.6363,24.1,84,86,4.89,CI,1691614862
79,margaret river,-33.95,115.0667,10.49,78,100,1.57,AU,1691614863
80,mammoth lakes,37.6485,-118.9721,25.45,10,0,3.13,US,1691614863
81,hawaiian paradise park,19.5933,-154.9731,27.8,78,97,0.45,US,1691614863
82,baotou,40.6522,109.8222,26.9,44,90,3.94,CN,1691614813
83,kenai,60.5544,-151.2583,14.52,93,100,3.09,US,1691614864
84,yellowknife,62.456,-114.3525,21.29,43,75,7.72,CA,1691614748
85,susuman,62.7833,148.1667,7.98,83,90,0.85,RU,1691614619
86,mount isa,-20.7333,139.5,6.87,81,6,0.0,AU,1691614856
87,port lincoln,-34.7333,135.8667,10.96,69,70,4.53,AU,1691614692
88,newman,37.3138,-121.0208,32.91,14,0,3.87,US,1691614793
89,anadyr,64.75,177.4833,10.28,81,75,3.58,RU,1691614865
